# ace41d8f-8f33-4e0d-b740-073045ba97da
# 8c2cec4c57832ff121917315709ba66d2c4a73be
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;215.4106347;5.7480718;-0.7648890;-0.0000272;42.4102556;3.6987180
1.9984188;216.7944921;7.1898079;-0.7649466;-0.0000305;42.5841867;3.6769767
3.9968375;218.1784395;8.6314619;-0.7650109;-0.0000338;42.7563941;3.6554507
5.9952563;219.5624870;10.0730250;-0.7650819;-0.0000372;42.9269085;3.6341364
7.9936750;220.9466366;11.5144800;-0.7651596;-0.0000405;43.0957600;3.6130300
9.9920938;222.3309054;12.9558254;-0.7652439;-0.0000439;43.2629775;3.5921278
11.9905125;223.7153035;14.3970523;-0.7653350;-0.0000472;43.4285894;3.5714263
13.9889313;225.0998320;15.8381428;-0.7654327;-0.0000506;43.5926231;3.5509221
15.9873501;226.4845089;17.2790962;-0.7655371;-0.0000539;43.7551053;3.5306118
17.9857688;227.8693442;18.7199037;-0.7656482;-0.0000573;43.9160623;3.5104922
19.9841876;229.2543382;20.1605463;-0.7657660;-0.0000606;44.0755192;3.4867841
21.9826063;230.6395097;21.6010242;-0.7658904;-0.0000640;44.2333302;3.4591672
23.9810251;232.0248686;23.0413287;-0.7660216;-0.0000673;44.3893369;3.4318660
25.9794438;233.4104146;24.4814399;-0.7661594;-0.0000706;44.5435724;3.4048748
27.9778626;234.7961672;25.9213588;-0.7663039;-0.0000740;44.6960689;3.3781879
29.9762814;236.1821363;27.3610766;-0.7664552;-0.0000773;44.8468577;3.3517999
31.9747001;237.5683207;28.8005728;-0.7666131;-0.0000807;44.9959692;3.3257054
33.9731189;238.9547408;30.2398491;-0.7667776;-0.0000840;45.1434330;3.2998992
35.9715376;240.3414064;31.6788966;-0.7669489;-0.0000874;45.2892781;3.2743763
37.9699564;241.7283157;33.1176939;-0.7671269;-0.0000907;45.4335323;3.2491318
39.9683751;243.1154895;34.5562438;-0.7673115;-0.0000941;45.5762231;3.2241610
41.9667939;244.5029379;35.9945370;-0.7675029;-0.0000974;45.7173770;3.1994590
43.9652126;245.8906582;37.4325517;-0.7677009;-0.0001008;45.8570199;3.1750215
45.9636314;247.2786720;38.8702911;-0.7679056;-0.0001041;45.9951771;3.1508440
47.9620502;248.6669893;40.3077461;-0.7681171;-0.0001075;46.1318733;3.1269222
49.9604689;250.0556067;41.7448940;-0.7683352;-0.0001108;46.2671323;3.1032518
51.9588877;251.4445466;43.1817388;-0.7685600;-0.0001142;46.4009776;3.0798289
53.9573064;252.8338187;44.6182714;-0.7687915;-0.0001175;46.5334321;3.0566494
55.9557252;254.2234192;46.0544683;-0.7690296;-0.0001209;46.6645179;3.0337094
57.9541439;255.6133710;47.4903342;-0.7692745;-0.0001242;46.7942569;3.0110051
59.9525627;257.0036840;48.9258600;-0.7695261;-0.0001276;46.9226701;2.9885327
61.9509815;258.3943534;50.3610215;-0.7697843;-0.0001308;47.0497785;2.9662888
63.9494002;259.7854034;51.7958234;-0.7700521;-0.0001402;47.1756020;2.9442696
65.9478190;261.1768610;53.2302402;-0.7703476;-0.0001557;47.3001606;2.9224719
67.9462377;262.5687769;54.6641927;-0.7707203;-0.0002176;47.4234735;2.9008921
69.9446565;263.9613219;56.0975430;-0.7712231;-0.0002918;47.5455596;2.8795271
71.9430752;265.3547097;57.5300856;-0.7718928;-0.0003784;47.6664372;2.8583735
73.9414940;266.7491503;58.9615789;-0.7726977;-0.0004269;47.7861245;2.8374282
75.9399128;268.1448183;60.3918913;-0.7735942;-0.0004653;47.9046389;2.8166882
77.9383315;269.5418194;61.8209117;-0.7745522;-0.0004935;48.0219978;2.7967003
79.9367503;270.9402228;63.2485426;-0.7755714;-0.0005265;48.1382408;2.7792639
81.9351690;272.3401329;64.6747069;-0.7766563;-0.0005589;48.2534817;2.7619777
83.9335878;273.7416323;66.0993039;-0.7778050;-0.0005907;48.3677338;2.7448399
85.9320065;275.1448157;67.5222488;-0.7790174;-0.0006227;48.4810102;2.7278485
87.9304253;276.5497680;68.9434457;-0.7802938;-0.0006547;48.5933238;2.7110014
89.9288441;277.9565701;70.3627950;-0.7816340;-0.0006866;48.7046872;2.6942969
