# e1d8df5f-05ef-4860-9daf-6219a6718e3e
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; banking_rad
0.0000000; -320.0637650; -1851.3422787; -3.1289423; -0.0000032; 88.0907880; 0.2900584; 0.0000000
1.4995663; -320.0447991; -1852.8417251; -3.1289471; -0.0000032; 88.0973704; 0.2890640; 0.0000000
2.9991330; -320.0258404; -1854.3411719; -3.1289519; -0.0000033; 88.1039298; 0.2880730; 0.0000000
4.4987002; -320.0068887; -1855.8406193; -3.1289568; -0.0000033; 88.1039298; 0.2880730; 0.0000000
5.9982678; -319.9879447; -1857.3400672; -3.1289618; -0.0000033; 88.1104662; 0.2868845; 0.0000000
7.4978359; -319.9690081; -1858.8395159; -3.1289667; -0.0000033; 88.1169751; 0.2859010; 0.0000000
8.9974045; -319.9500789; -1860.3389650; -3.1289717; -0.0000034; 88.1234613; 0.2849210; 0.0000000
10.4969737; -319.9311571; -1861.8384149; -3.1289768; -0.0000034; 88.1234613; 0.2849210; 0.0000000
11.9965434; -319.9122431; -1863.3378651; -3.1289818; -0.0000034; 88.1299247; 0.2837461; 0.0000000
13.4961136; -319.8933365; -1864.8373163; -3.1289869; -0.0000034; 88.1363611; 0.2827732; 0.0000000
14.9956845; -319.8744376; -1866.3367680; -3.1289920; -0.0000034; 88.1427748; 0.2818041; 0.0000000
16.4952559; -319.8555462; -1867.8362204; -3.1289971; -0.0000034; 88.1427748; 0.2818041; 0.0000000
17.9948280; -319.8366627; -1869.3356736; -3.1290022; -0.0000034; 88.1491662; 0.2806427; 0.0000000
19.4944007; -319.8177867; -1870.8351275; -3.1290074; -0.0000035; 88.1555307; 0.2796802; 0.0000000
20.9939741; -319.7989187; -1872.3345823; -3.1290126; -0.0000035; 88.1618730; 0.2787219; 0.0000000
22.4935482; -319.7800583; -1873.8340376; -3.1290177; -0.0000035; 88.1618730; 0.2787219; 0.0000000
23.9931230; -319.7612056; -1875.3334940; -3.1290230; -0.0000035; 88.1681930; 0.2775738; 0.0000000
25.4926985; -319.7423609; -1876.8329510; -3.1290282; -0.0000035; 88.1744866; 0.2766218; 0.0000000
