# 3d54b178-3ebf-4359-abe5-c83f9e50a12d
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;banking_rad
0;60.691625;258.6983111;-3.1278011;-0.0001117;61.8924618;4.7495832;-0.0415
1.4949282;60.7121153;257.2035234;-3.1279697;-0.0001122;62.0457059;4.7213583;-0.0413
2.9903498;60.7323611;255.7082388;-3.1281366;-0.0001122;62.0457059;4.7213583;-0.0411
4.4862467;60.7523656;254.2124757;-3.1283006;-0.0001092;62.1976651;4.6932215;-0.0408611
5.9826008;60.7721331;252.7162522;-3.1284615;-0.0001064;62.3483517;4.6582013;-0.0406727
7.4793938;60.7916679;251.2195867;-3.1286197;-0.0001044;62.4975546;4.6311243;-0.040485
8.9766077;60.8109731;249.7224972;-3.1287758;-0.0001044;62.4975546;4.6311243;-0.0403
10.4742241;60.8300512;248.2250023;-3.1289303;-0.0001029;62.645538;4.6040029;-0.0401
11.972225;60.8489037;246.7271201;-3.1290837;-0.0001021;62.7923091;4.5705672;-0.0399273
13.470592;60.8675315;245.2288688;-3.1292368;-0.0001021;62.9376757;4.5445757;-0.0398
14.9693069;60.8859343;243.7302669;-3.12939;-0.0001021;62.9376757;4.5445757;-0.0397
16.4683515;60.9041112;242.2313325;-3.129544;-0.0001028;63.0818835;4.518498;-0.0395593
17.9677076;60.9220602;240.7320838;-3.1296993;-0.0001041;63.2249377;4.486463;-0.0394726
19.4673569;60.9397786;239.2325393;-3.1298565;-0.0001062;63.3666582;4.4614949;-0.0394
20.9672811;60.9572629;237.7327169;-3.1300162;-0.0001062;63.3666582;4.4614949;-0.0393
22.4674621;60.9745083;236.2326352;-3.1301791;-0.0001089;63.5072763;4.4364663;-0.0392
23.9678816;60.9915097;234.7323119;-3.1303455;-0.0001122;63.6467976;4.4056825;-0.0392
25.4685213;61.0082609;233.2317657;-3.130516;-0.000116;63.7850487;4.3816817;-0.0391
26.9693631;61.0247554;231.7310145;-3.1306909;-0.000116;63.7850487;4.3816817;-0.0391
28.4703887;61.0409859;230.2300768;-3.1308705;-0.0001202;63.9222501;4.3576918;-0.0391
29.9715799;61.0569451;228.7289703;-3.1310549;-0.0001245;64.0584088;4.3280463;-0.0391
31.4729185;61.0726252;227.2277137;-3.1312441;-0.0001287;64.1933554;4.3049692;-0.0391
32.9743863;61.0880191;225.7263248;-3.1314379;-0.0001287;64.1933554;4.3049692;-0.0391
34.4759652;61.1031199;224.2248218;-3.1316358;-0.0001323;64.3273016;4.2820034;-0.0391
35.9776369;61.1179215;222.7232231;-3.131837;-0.0001351;64.4602572;4.2534269;-0.0392
37.4793832;61.1324197;221.2215467;-3.1320404;-0.0001361;64.5920545;4.2312517;-0.0393
38.981186;61.1466117;219.719811;-3.1322446;-0.0001361;64.5920545;4.2312517;-0.0393
40.4830272;61.1604976;218.2180341;-3.1324476;-0.0001352;64.7228984;4.2093;-0.0394
41.9848885;61.1740805;216.7162342;-3.1326471;-0.0001316;64.8528016;4.1817632;-0.0395
43.4867518;61.1873672;215.2144296;-3.1328403;-0.000124;64.9815978;4.1604756;-0.0396
44.9885989;61.2003696;213.7126388;-3.1330239;-0.0001121;65.1094855;4.1394333;-0.0398
46.4904118;61.2131045;212.2108799;-3.1331942;-0.0001121;65.1094855;4.1394333;-0.0399
47.9921722;61.2255948;210.7091715;-3.1333467;-9.55E-05;65.2364776;4.1129216;-0.0400019
49.4938621;61.2378706;209.2075317;-3.1334765;-7.21E-05;65.362412;3.9449188;-0.0402
50.9954633;61.2499697;207.7059792;-3.1335786;-4.24E-05;65.4829747;3.1627488;-0.0404
52.4969579;61.2619374;206.2045324;-3.133647;-4.24E-05;65.4829747;3.1627488;-0.0406
53.9983279;61.273829;204.7032094;-3.1336757;-5.8E-06;65.579473;1.2587473;-0.0408
55.4995554;61.2857085;203.2020289;-3.1336583;3.94E-05;65.6178391;-0.9970314;-0.041
57.0006226;61.2976501;201.7010092;-3.1335878;9.29E-05;65.5874519;-3.6600954;-0.0412342
58.501512;61.3097385;200.2001686;-3.133457;9.29E-05;65.5874519;-3.6600954;-0.0415
60.0022061;61.3220698;198.699525;-3.1332576;0.0001553;65.4757797;-7.2182896;-0.0417127
61.5026881;61.334753;197.1990968;-3.1329809;0.0002303;65.2549844;-10.3814289;-0.042
63.0029404;61.3479112;195.6989021;-3.1326166;0.0003199;64.9361176;-13.5060837;-0.0422895
64.5029489;61.3616832;194.1989568;-3.1321564;0.0003199;64.9361176;-13.5060837;-0.0425774
66.0026902;61.3762171;192.699286;-3.1316109;0.0003843;64.518918;-17.0336366;-0.0428665
67.5021809;61.3916202;191.1998745;-3.1309746;0.0004972;63.9888748;-19.6450924;-0.0431532
69.0015529;61.4080586;189.7005926;-3.1301736;0.0006934;63.3720651;-21.7649873;-0.0435
70.5008889;61.4258619;188.2013623;-3.1291644;0.0006934;63.3720651;-21.7649873;-0.0438369
72.0001761;61.4453251;186.7022016;-3.127948;0.000877;62.6816086;-23.4926716;-0.0441264
73.4994153;61.4667744;185.203116;-3.1264901;0.0011236;61.9277059;-24.0150504;-0.0445
74.9986042;61.4906074;183.7041167;-3.1247336;0.0014531;61.1474329;-23.603682;-0.04481
76.4977429;61.5173211;182.2052162;-3.1226033;0.0014531;61.1474329;-23.603682;-0.0452046
77.996834;61.5475384;180.7064302;-3.1200081;0.0018856;60.3706994;-22.0543761;-0.0455988
79.495883;61.5820295;179.2077786;-3.1168429;0.0024664;59.6358076;-20.3045615;-0.0459918
80.9948992;61.6217321;177.7092893;-3.1130002;0.0031406;58.9511236;-17.9136793;-0.0463
82.493896;61.6677381;176.2109999;-3.1084066;0.0031406;58.9511236;-17.9136793;-0.0467779
83.9928907;61.7212051;174.7129608;-3.1030224;0.0038505;58.3403904;-14.5023979;-0.0471687
85.4919047;61.7833428;173.2152377;-3.0968179;0.0045941;57.841235;-11.8125849;-0.0475621
86.9909644;61.8553974;171.7179137;-3.0897997;0.0052683;57.4314539;-9.6284113;-0.048
88.4900999;61.9385573;170.2210903;-3.0820297;0.0052683;57.4314539;-9.6284113;-0.0484482
89.9893442;62.0338823;168.7248841;-3.0736049;0.0058278;57.0952667;-7.7951832;-0.0489
91.4887311;62.1422678;167.2294247;-3.0646367;0.0062366;56.8216317;-6.7912264;-0.0493341
92.9882948;62.2644384;165.7348516;-3.0552334;0.0065355;56.5821601;-6.1333713;-0.049827
94.4880683;62.4009626;164.2413108;-3.0454903;0.0065355;56.5821601;-6.1333713;-0.0503178
95.9880842;62.5522771;162.7489525;-3.0354866;0.0067481;56.3650114;-5.669077;-0.0508088
