# f02e7476-9f15-4371-b194-df7797ad912d
# 0e3f6f80bd8bcd9d7a33a090afc197ddfb1aab32
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2; banking_rad
0.0000000; 296.9719832; 690.5206764; 2.2656568; 0.0021687; 83.0000000; 0.0000000; -0.1571000
1.4987545; 295.8222869; 689.5591871; 2.2689040; 0.0021632; 83.0000000; 0.0000000; -0.1571000
2.9975079; 294.6757167; 688.5939740; 2.2721450; 0.0021632; 83.0000000; 0.0000000; -0.1571000
4.4962600; 293.5322786; 687.6250543; 2.2753798; 0.0021577; 83.0000000; 0.0000000; -0.1571000
5.9950107; 292.3919790; 686.6524451; 2.2786086; 0.0021522; 83.0000000; 0.0000000; -0.1571000
7.4937600; 291.2548237; 685.6761638; 2.2818311; 0.0021468; 83.0000000; 0.0000000; -0.1571000
8.9925078; 290.1208186; 684.6962274; 2.2850477; 0.0021468; 83.0000000; 0.0000000; -0.1571000
10.4912540; 288.9899695; 683.7126530; 2.2882582; 0.0021414; 83.0000000; 0.0000000; -0.1571000
11.9899988; 287.8622821; 682.7254574; 2.2914626; 0.0021361; 83.0000000; 0.0000000; -0.1571000
13.4887420; 286.7377622; 681.7346576; 2.2946611; 0.0021308; 83.0000000; 0.0000000; -0.1571000
14.9874836; 285.6164152; 680.7402706; 2.2978537; 0.0021308; 83.0000000; 0.0000000; -0.1571000
16.4862238; 284.4982469; 679.7423128; 2.3010404; 0.0021255; 83.0000000; 0.0000000; -0.1571000
17.9849626; 283.3832623; 678.7408011; 2.3042212; 0.0021203; 83.0000000; 0.0000000; -0.1571000
19.4837001; 282.2714671; 677.7357522; 2.3073961; 0.0021151; 83.0000000; 0.0000000; -0.1571000
20.9824362; 281.1628665; 676.7271825; 2.3105652; 0.0021151; 83.0000000; 0.0000000; -0.1571000
22.4811713; 280.0574655; 675.7151085; 2.3137286; 0.0021100; 83.0000000; 0.0000000; -0.1571000
23.9799054; 278.9552695; 674.6995466; 2.3168863; 0.0021049; 83.0000000; 0.0000000; -0.1571000
25.4786386; 277.8562836; 673.6805131; 2.3200382; 0.0020998; 83.0000000; 0.0000000; -0.1571000
26.9773711; 276.7605124; 672.6580245; 2.3231844; 0.0020998; 83.0000000; 0.0000000; -0.1571000
28.4761031; 275.6679612; 671.6320969; 2.3263249; 0.0020948; 83.0000000; 0.0000000; -0.1571000
29.9748348; 274.5786346; 670.6027463; 2.3294599; 0.0020898; 83.0000000; 0.0000000; -0.1571000
31.4735664; 273.4925375; 669.5699889; 2.3325893; 0.0020849; 83.0000000; 0.0000000; -0.1571000
32.9722982; 272.4096747; 668.5338407; 2.3357131; 0.0020849; 83.0000000; 0.0000000; -0.1571000
34.4710305; 271.3300506; 667.4943175; 2.3388313; 0.0020799; 83.0000000; 0.0000000; -0.1571000
35.9697634; 270.2536699; 666.4514354; 2.3419442; 0.0020751; 83.0000000; 0.0000000; -0.1571000
37.4684974; 269.1805372; 665.4052099; 2.3450516; 0.0020702; 83.0000000; 0.0000000; -0.1571000
38.9672326; 268.1106568; 664.3556568; 2.3481534; 0.0020702; 83.0000000; 0.0000000; -0.1571000
40.4659695; 267.0440330; 663.3027920; 2.3512499; 0.0020654; 83.0000000; 0.0000000; -0.1571000
41.9647085; 265.9806704; 662.2466308; 2.3543411; 0.0020606; 83.0000000; 0.0000000; -0.1571000
43.4634498; 264.9205730; 661.1871888; 2.3574268; 0.0020559; 83.0000000; 0.0000000; -0.1571000
44.9621939; 263.8637450; 660.1244816; 2.3605073; 0.0020559; 83.0000000; 0.0000000; -0.1571000
46.4609412; 262.8101907; 659.0585243; 2.3635826; 0.0020512; 83.0000000; 0.0000000; -0.1571000
47.9596921; 261.7599141; 657.9893322; 2.3666525; 0.0020465; 83.0000000; 0.0000000; -0.1571000
49.4584470; 260.7129191; 656.9169209; 2.3697169; 0.0020412; 83.0000000; 0.0000000; -0.1571000
50.9572065; 259.6692092; 655.8413057; 2.3727743; 0.0020412; 83.0000000; 0.0000000; -0.1571000
52.4559713; 258.6287844; 654.7625053; 2.3758211; 0.0020309; 83.0000000; 0.0000000; -0.1571000
53.9547430; 257.5916397; 653.6805414; 2.3788575; 0.0020231; 83.0000000; 0.0000000; -0.1571000
55.4535230; 256.5577749; 652.5954318; 2.3818856; 0.0020157; 83.0000000; 0.0000000; -0.1571000
56.9523114; 255.5271903; 651.5071943; 2.3849055; 0.0020157; 83.0000000; 0.0000000; -0.1571000
58.4511087; 254.4998861; 650.4158475; 2.3879167; 0.0020080; 83.0000000; 0.0000000; -0.1571000
59.9499152; 253.4758619; 649.3214100; 2.3909194; 0.0020003; 83.0000000; 0.0000000; -0.1571000
61.4487313; 252.4551172; 648.2239000; 2.3939133; 0.0019926; 83.0000000; 0.0000000; -0.1571000
62.9475572; 251.4376515; 647.1233360; 2.3968987; 0.0019926; 83.0000000; 0.0000000; -0.1571000
64.4463933; 250.4234645; 646.0197362; 2.3998756; 0.0019850; 83.0000000; 0.0000000; -0.1571000
65.9452397; 249.4125554; 644.9131188; 2.4028440; 0.0019774; 83.0000000; 0.0000000; -0.1571000
67.4440968; 248.4049238; 643.8035020; 2.4058038; 0.0019698; 83.0000000; 0.0000000; -0.1571000
68.9429647; 247.4005688; 642.6909040; 2.4087551; 0.0019698; 83.0000000; 0.0000000; -0.1571000
70.4418436; 246.3994897; 641.5753427; 2.4116980; 0.0019623; 83.0000000; 0.0000000; -0.1571000
71.9407336; 245.4016859; 640.4568360; 2.4146324; 0.0019547; 83.0000000; 0.0000000; -0.1571000
73.4396349; 244.4071563; 639.3354020; 2.4175584; 0.0019473; 83.0000000; 0.0000000; -0.1571000
74.9385475; 243.4159002; 638.2110584; 2.4204761; 0.0019473; 83.0000000; 0.0000000; -0.1571000
76.4374714; 242.4279165; 637.0838229; 2.4233855; 0.0019398; 83.0000000; 0.0000000; -0.1571000
77.9364069; 241.4432043; 635.9537133; 2.4262865; 0.0019324; 83.0000000; 0.0000000; -0.1571000
79.4353538; 240.4617624; 634.8207472; 2.4291792; 0.0019250; 83.0000000; 0.0000000; -0.1571000
80.9343121; 239.4835897; 633.6849423; 2.4320635; 0.0019250; 83.0000000; 0.0000000; -0.1571000
82.4332819; 238.5086851; 632.5463161; 2.4349397; 0.0019176; 83.0000000; 0.0000000; -0.1571000
83.9322630; 237.5370473; 631.4048859; 2.4378076; 0.0019103; 83.0000000; 0.0000000; -0.1571000
85.4312554; 236.5686750; 630.2606692; 2.4406673; 0.0019030; 83.0000000; 0.0000000; -0.1571000
86.9302590; 235.6035667; 629.1136834; 2.4435188; 0.0019030; 83.0000000; 0.0000000; -0.1571000
88.4292738; 234.6417213; 627.9639456; 2.4463621; 0.0018957; 83.0000000; 0.0000000; -0.1571000
89.9282994; 233.6831371; 626.8114732; 2.4491973; 0.0018884; 83.0000000; 0.0000000; -0.1571000
91.4273359; 232.7278127; 625.6562831; 2.4520244; 0.0018812; 83.0000000; 0.0000000; -0.1571000
92.9263830; 231.7757465; 624.4983926; 2.4548433; 0.0018812; 83.0000000; 0.0000000; -0.1571000
94.4254405; 230.8269367; 623.3378186; 2.4576542; 0.0018740; 83.0000000; 0.0000000; -0.1571000
95.9245082; 229.8813818; 622.1745780; 2.4604570; 0.0018668; 83.0000000; 0.0000000; -0.1571000
97.4235858; 228.9390800; 621.0086880; 2.4632518; 0.0018596; 83.0000000; 0.0000000; -0.1571000
