# 966d1cdf-a6c0-4b75-bab7-6251d938bcc5
# 8c2cec4c57832ff121917315709ba66d2c4a73be
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;-20.0818411;221.2036277;-2.3729460;-0.0003943;50.7053647;2.3941953
1.9984384;-18.6931257;219.7664798;-2.3737096;-0.0003699;50.7996389;2.3800542
3.9968768;-17.3055042;218.3283379;-2.3744244;-0.0003455;50.8931832;2.3660225
5.9953152;-15.9189015;216.8892647;-2.3750906;-0.0003211;50.9860059;2.3520991
7.9937536;-14.5331702;215.4492473;-2.3757080;-0.0002968;51.0781152;2.3382827
9.9921920;-13.1483204;214.0084364;-2.3762769;-0.0002725;51.1695190;2.3245721
11.9906304;-11.7642768;212.5668937;-2.3767972;-0.0002482;51.2602254;2.3109662
13.9890688;-10.3809038;211.1246182;-2.3772690;-0.0002239;51.3502420;2.2974637
15.9875071;-8.9981996;209.6817479;-2.3776923;-0.0001997;51.4395765;2.2840635
17.9859455;-7.6160891;208.2383444;-2.3780672;-0.0001755;51.5282365;2.2707645
19.9843839;-6.2344475;206.7944172;-2.3783937;-0.0001513;51.6162292;2.2575656
21.9828223;-4.8532621;205.3500929;-2.3786718;-0.0001271;51.7035621;2.2444657
23.9812607;-3.4724579;203.9054329;-2.3789016;-0.0001029;51.7902422;2.2314637
25.9796991;-2.0919201;202.4604568;-2.3790832;-0.0000788;51.8762766;2.2185585
27.9781375;-0.7116260;201.0152805;-2.3792164;-0.0000546;51.9616722;2.2057492
29.9765759;0.6684991;199.5699654;-2.3793014;-0.0000305;52.0464358;2.1918737
31.9750143;2.0485606;198.1245406;-2.3793382;-0.0000064;52.1305298;2.1771573
33.9734527;3.4285907;196.6791119;-2.3793268;0.0000178;52.2139250;2.1625631
35.9718911;4.8086635;195.2337411;-2.3792673;0.0000419;52.2966295;2.1480898
37.9703295;6.1888759;193.7884661;-2.3791596;0.0000659;52.3786513;2.1337360
39.9687679;7.5692687;192.3433836;-2.3790037;0.0000900;52.4599980;2.1195003
41.9672063;8.9499156;190.8985556;-2.3787998;0.0001141;52.5406773;2.1053815
43.9656447;10.3309051;189.4540287;-2.3785477;0.0001382;52.6206967;2.0913781
45.9640830;11.7122862;188.0098907;-2.3782475;0.0001622;52.7000636;2.0774889
47.9625214;13.0941321;186.5662041;-2.3778992;0.0001863;52.7787852;2.0637126
49.9609598;14.4765232;185.1230239;-2.3775029;0.0002104;52.8568688;2.0500480
51.9593982;15.8595165;183.6804296;-2.3770585;0.0002344;52.9343212;2.0364938
53.9578366;17.2431847;182.2384841;-2.3765660;0.0002585;53.0111496;2.0230488
55.9562750;18.6276000;180.7972510;-2.3760254;0.0002825;53.0873606;2.0097119
57.9547134;20.0128271;179.3568015;-2.3754367;0.0003066;53.1629610;1.9964818
59.9531518;21.3989384;177.9171991;-2.3748000;0.0003306;53.2379575;1.9833574
61.9515902;22.7859978;176.4785158;-2.3741152;0.0003547;53.3123565;1.9703376
63.9500286;24.1740777;175.0408151;-2.3733823;0.0003788;53.3861644;1.9574212
65.9484670;25.5632499;173.6041610;-2.3726012;0.0004029;53.4593876;1.9446072
67.9469054;26.9535702;172.1686341;-2.3717721;0.0004269;53.5320323;1.9318944
69.9453438;28.3451185;170.7342901;-2.3708948;0.0004510;53.6041045;1.9192817
71.9437822;29.7379662;169.3011938;-2.3699694;0.0004751;53.6756104;1.9067682
73.9422206;31.1321603;167.8694347;-2.3689957;0.0004993;53.7465559;1.8943527
75.9406589;32.5277895;166.4390589;-2.3679763;0.0005182;53.8169468;1.8820343
77.9390973;33.9249063;165.0101208;-2.3669271;0.0005317;53.8867890;1.8698119
79.9375357;35.3235268;163.5826823;-2.3658511;0.0005451;53.9560880;1.8576846
81.9359741;36.7237092;162.1567605;-2.3647483;0.0005585;54.0248495;1.8456513
83.9344125;38.1254859;160.7323990;-2.3636187;0.0005720;54.0930791;1.8337112
85.9328509;39.5288812;159.3096492;-2.3624623;0.0005854;54.1607822;1.8218631
87.9312893;40.9339447;157.8885373;-2.3612791;0.0005988;54.2279641;1.8101063
89.9297277;42.3407089;156.4691065;-2.3600690;0.0006122;54.2946301;1.7984397
91.9281661;43.7492050;155.0514016;-2.3588322;0.0006256;54.3607855;1.7868625
93.9266045;45.1594746;153.6354566;-2.3575685;0.0006390;54.4264354;1.7753738
95.9250429;46.5715508;152.2213143;-2.3562781;0.0006524;54.4915849;1.7639726
97.9234813;47.9854697;150.8090143;-2.3549608;0.0006659;54.5562389;1.7526582
99.9219197;49.4012668;149.3985970;-2.3536167;0.0006793;54.6204024;1.7414296
101.9203581;50.8189758;147.9901043;-2.3522458;0.0006927;54.6840803;1.7302859
103.9187964;52.2386355;146.5835735;-2.3508480;0.0007062;54.7472774;1.7192265
105.9172348;53.6602774;145.1790487;-2.3494233;0.0007196;54.8099983;1.7082503
107.9156732;55.0839363;143.7765712;-2.3479718;0.0007330;54.8722479;1.6973566
109.9141116;56.5096506;142.3761783;-2.3464935;0.0007465;54.9340305;1.6865447
111.9125500;57.9374508;140.9779156;-2.3449881;0.0007600;54.9953509;1.6758136
113.9109884;59.3673730;139.5818230;-2.3434559;0.0007735;55.0562135;1.6651626
115.9094268;60.7994517;138.1879423;-2.3418966;0.0007870;55.1166226;1.6545910
117.9078652;62.2337202;136.7963163;-2.3403103;0.0008005;55.1765828;1.6440980
119.9063036;63.6702158;135.4069842;-2.3386969;0.0008141;55.2360982;1.6336828
121.9047420;65.1089649;134.0199957;-2.3370564;0.0008277;55.2951732;1.6233447
123.9031804;66.5500080;132.6353875;-2.3353887;0.0008414;55.3538118;1.6130829
125.9016188;67.9933840;131.2531977;-2.3336936;0.0008550;55.4120183;-4.0952856
127.9000572;69.4391065;129.8734889;-2.3319711;0.0008688;55.2641242;-10.8427270
129.8984956;70.8872280;128.4962867;-2.3302212;0.0008826;54.8706331;-10.8397981
131.8969340;72.3377891;127.1216289;-2.3284435;0.0008965;54.4744072;-10.8394585
133.8953723;73.7907709;125.7495803;-2.3266704;0.0008774;54.0752907;-10.9332285
