# 3a7412cf-528c-4d15-8891-1a2636d85142
# a8faac0e6880df6484e8849a82efff7619a577b5
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;103.6056152;142.9255440;2.4051999;0.0011888;41.5080480;2.8941888
1.9994848;102.2644888;141.4425372;2.4075844;0.0011964;41.6472307;2.7374720
3.9989696;100.9269123;139.9563249;2.4099841;0.0012040;41.7784501;2.5306732
5.9984545;99.5929161;138.4668954;2.4123991;0.0012116;41.8993911;2.2891975
7.9979393;98.2625352;136.9742420;2.4148292;0.0012192;42.0084921;2.0246798
9.9974241;96.9357955;135.4783482;2.4172746;0.0012268;42.1047508;1.7459934
11.9969089;95.6127272;133.9792021;2.4197353;0.0012345;42.1875837;1.4597928
13.9963938;94.2933671;132.4767992;2.4222112;0.0012421;42.2567141;1.1710982
15.9958786;92.9777405;130.9711222;2.4247024;0.0012497;42.3120913;0.9035545
17.9953634;91.6658782;129.4621597;2.4272089;0.0012574;42.3547678;0.6976774
19.9948482;90.3578182;127.9499089;2.4297306;0.0012650;42.3876910;0.5390525
21.9943331;89.0535853;126.4343518;2.4322677;0.0012727;42.4131112;0.4167116
23.9938179;87.7532109;124.9154778;2.4348201;0.0012804;42.4327517;0.3222786
25.9933027;86.4567341;123.3932854;2.4373879;0.0012880;42.4479352;0.2493393
27.9927875;85.1641794;121.8677563;2.4399710;0.0012957;42.4596785;0.1929709
29.9922724;83.8755787;120.3388803;2.4425695;0.0013034;42.4687648;0.1493889
31.9917572;82.5909722;118.8066576;2.4451833;0.0013111;42.4757977;0.1156798
33.9912420;81.3103843;117.2710693;2.4478126;0.0013188;42.4812428;0.0895983
35.9907268;80.0338472;115.7321060;2.4504573;0.0013265;42.4854597;0.0694126
37.9902117;78.7614023;114.1897692;2.4531174;0.0013343;42.4887264;0.0537857
39.9896965;77.4930737;112.6440398;2.4557929;0.0013420;42.4912574;0.0416852
41.9891813;76.2288943;111.0949090;2.4584839;0.0013497;42.4932189;0.0323132
43.9886661;74.9689063;109.5423795;2.4611904;0.0013575;42.4947393;0.0250529
45.9881510;73.7131337;107.9864321;2.4639124;0.0013652;42.4959181;0.0194274
47.9876358;72.4616101;106.4270587;2.4666499;0.0013730;42.4968322;0.0150678
49.9871206;71.2143784;104.8642632;2.4694029;0.0013808;42.4975411;0.0116886
51.9866054;69.9714628;103.2980263;2.4721715;0.0013885;42.4980911;0.0090688
53.9860903;68.7328974;101.7283407;2.4749557;0.0013963;42.4985178;0.0070375
55.9855751;67.4987256;100.1552113;2.4777555;0.0014041;42.4988489;0.0054621
57.9850599;66.2689722;98.5786189;2.4805708;0.0014120;42.4991058;0.0042401
59.9845447;65.0436715;96.9985570;2.4834019;0.0014198;42.4993053;0.0032921
61.9840296;63.8228676;95.4150312;2.4862485;0.0014276;42.4994602;0.0025565
63.9835144;62.6065857;93.8280229;2.4891109;0.0014355;42.4995805;0.0019856
65.9829992;61.3948606;92.2375262;2.4919889;0.0014433;42.4996739;0.0015425
67.9824840;60.1877369;90.6435474;2.4948826;0.0014512;42.4997465;0.0011984
69.9819689;58.9852402;89.0460685;2.4977921;0.0014591;42.4998028;0.0009313
71.9814537;57.7874061;87.4450843;2.5007174;0.0014670;42.4998467;0.0007239
73.9809385;56.5942791;85.8406018;2.5036584;0.0014749;42.4998807;0.0005627
75.9804233;55.4058858;84.2326035;2.5066153;0.0014828;42.4999072;0.0004375
77.9799082;54.2222621;82.6210850;2.5095880;0.0014907;42.4999278;0.0003403
79.9793930;53.0434530;81.0060539;2.5125766;0.0014986;42.4999438;0.0002647
81.9788778;51.8694855;79.3874935;2.5155810;0.0015066;42.4999562;0.0002059
83.9783626;50.7003964;77.7654002;2.5186014;0.0015146;42.4999659;0.0001602
85.9778475;49.5362306;76.1397819;2.5216377;0.0015225;42.4999735;0.0001247
87.9773323;48.3770160;74.5106229;2.5246900;0.0015305;42.4999793;0.0000971
89.9768171;47.2227900;72.8779205;2.5277582;0.0015385;42.4999839;0.0000756
91.9763019;46.0735973;71.2416826;2.5308425;0.0015466;42.4999874;0.0000588
93.9757868;44.9294672;69.6018949;2.5339429;0.0015546;42.4999902;0.0000458
95.9752716;43.7904373;67.9585555;2.5370593;0.0015626;42.4999924;0.0000357
97.9747564;42.6565525;66.3116722;2.5401918;0.0015707;42.4999941;0.0000278
99.9742412;41.5278428;64.6612323;2.5433405;0.0015788;42.4999954;0.0000217
101.9737261;40.4043468;63.0072345;2.5465053;0.0015869;42.4999964;0.0000169
103.9732109;39.2861088;61.3496867;2.5496864;0.0015950;42.4999972;0.0000132
105.9726957;38.1731603;59.6885777;2.5528836;0.0016031;42.4999978;0.0000103
107.9721805;37.0655403;58.0239071;2.5560972;0.0016113;42.4999983;0.0000080
109.9716654;35.9632929;56.3556825;2.5593270;0.0016194;42.4999987;0.0000063
111.9711502;34.8664510;54.6838944;2.5625732;0.0016276;42.4999990;0.0000049
113.9706350;33.7750540;53.0085435;2.5658357;0.0016358;42.4999992;0.0000038
115.9701198;32.6891456;51.3296368;2.5691147;0.0016440;42.4999994;0.0000030
117.9696047;31.6087601;49.6471669;2.5724101;0.0016522;42.4999995;0.0000023
119.9690895;30.5339377;47.9611353;2.5757219;0.0016605;42.4999996;0.0000018
121.9685743;29.4647215;46.2715485;2.5790503;0.0016687;42.4999997;0.0000014
123.9680591;28.4011473;44.5784012;2.5823952;0.0016770;42.4999998;0.0000011
125.9675440;27.3432558;42.8816960;2.5857566;0.0016853;42.4999998;0.0000009
127.9670288;26.2910896;41.1814383;2.5891347;0.0016936;42.4999999;0.0000007
129.9665136;25.2446862;39.4776257;2.5925295;0.0017020;42.4999999;0.0000005
131.9659984;24.2040868;37.7702614;2.5959410;0.0017104;42.4999999;0.0000004
133.9654833;23.1693333;36.0593499;2.5993692;0.0017187;42.4999999;0.0000003
135.9649681;22.1404650;34.3448916;2.6028141;0.0017271;42.4999999;0.0000003
137.9644529;21.1175236;32.6268904;2.6062760;0.0017356;42.5000000;0.0000002
139.9639377;20.1005504;30.9053499;2.6097547;0.0017439;42.5000000;0.0000002
141.9634226;19.0895862;29.1802734;2.6132501;0.0017525;42.5000000;0.0000001
143.9629074;18.0846736;27.4516659;2.6167630;0.0017613;42.5000000;0.0000001
145.9623922;17.0858538;25.7195298;2.6202924;0.0017691;42.5000000;0.0000001
147.9618770;16.0931673;23.9838722;2.6238364;0.0017748;42.5000000;0.0000001
149.9613619;15.1066459;22.2447025;2.6273888;0.0017785;42.5000000;0.0000000
151.9608467;14.1263152;20.5020357;2.6309485;0.0017822;42.5000000;0.0000000
153.9603315;13.1522004;18.7558863;2.6345157;0.0017859;42.5000000;0.0000000
155.9598163;12.1843278;17.0062704;2.6380905;0.0017898;42.5000000;0.0000000
157.9593012;11.2227219;15.2532005;2.6416730;0.0017936;42.5000000;0.0000000
159.9587860;10.2674095;13.4966941;2.6452631;0.0017975;42.5000000;0.0000000
161.9582708;9.3184169;11.7367671;2.6488610;0.0018014;42.5000000;0.0000000
163.9577556;8.3757678;9.9734306;2.6524667;0.0018053;42.5000000;0.0000000
165.9572405;7.4394906;8.2067045;2.6560802;0.0018092;42.5000000;0.0000000
167.9567253;6.5096117;6.4366050;2.6597017;0.0018132;42.5000000;0.0000000
169.9562101;5.5861541;4.6631418;2.6633311;0.0018172;42.5000000;0.0000000
171.9556949;4.6691475;2.8863373;2.6669685;0.0018212;42.5000000;0.0000000
173.9551798;3.7586184;1.1062076;2.6706140;0.0018253;42.5000000;0.0000000
