# 72e1e766-fcd3-4524-a4cf-2e32c6ae5102
# 8c2cec4c57832ff121917315709ba66d2c4a73be
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
0.0000000;143.6491750;-130.6271931;-2.2119235;-0.0000362;55.4708750;1.5925969
1.9995510;145.2516176;-131.8231786;-2.2119919;-0.0000323;55.5282535;1.5825556
3.9991019;146.8539832;-133.0192678;-2.2120526;-0.0000284;55.5852115;1.5725880
5.9986529;148.4562807;-134.2154477;-2.2121054;-0.0000244;55.6417530;1.5626932
7.9982039;150.0585203;-135.4117062;-2.2121503;-0.0000205;55.6978818;1.5528707
9.9977548;151.6607107;-136.6080303;-2.2121874;-0.0000166;55.7536020;1.5431197
11.9973058;153.2628604;-137.8044069;-2.2122166;-0.0000127;55.8089171;1.5334395
13.9968567;154.8649814;-139.0008253;-2.2122381;-0.0000087;55.8638309;1.5238296
15.9964077;156.4670809;-140.1972711;-2.2122516;-0.0000048;55.9183472;1.5142892
17.9959587;158.0691674;-141.3937314;-2.2122573;-0.0000009;55.9724696;-6.3786448
19.9955096;159.6712543;-142.5901964;-2.2122552;0.0000030;55.7441342;-13.4787618
21.9950606;161.2733473;-143.7866509;-2.2122452;0.0000070;55.2585338;-13.4673617
23.9946116;162.8754551;-144.9830816;-2.2122274;0.0000109;54.7690442;-13.4563830
25.9941625;164.4775924;-146.1794802;-2.2122017;0.0000148;54.2755448;-13.4458255
27.9937135;166.0797635;-147.3758301;-2.2121682;0.0000187;53.7779093;-13.4356888
29.9932645;167.6819771;-148.5721182;-2.2121268;0.0000227;53.2760063;-13.4259725
31.9928154;169.2842493;-149.7683371;-2.2120776;0.0000266;52.7696978;-13.4166762
33.9923664;170.8865830;-150.9644692;-2.2120205;0.0000305;52.2588400;-13.4077996
35.9919173;172.4889868;-152.1605014;-2.2119555;0.0000344;51.7432817;-13.3993426
37.9914683;174.0914784;-153.3564274;-2.2118828;0.0000384;51.2228646;-13.3913047
39.9910193;175.6940592;-154.5522285;-2.2118021;0.0000423;50.6974227;-13.3836857
41.9905702;177.2967377;-155.7478916;-2.2117136;0.0000462;50.1667813;-13.3764853
43.9901212;178.8995331;-156.9434113;-2.2116173;0.0000501;49.6307568;-13.3697040
45.9896722;180.5024454;-158.1387681;-2.2115131;0.0000541;49.0891557;-13.3633415
47.9892231;182.1054831;-159.3339487;-2.2114011;0.0000580;48.5417742;-13.3573924
49.9887741;183.7086664;-160.5289487;-2.2112812;0.0000619;47.9883972;-13.3518712
51.9883251;185.3119946;-161.7237478;-2.2111534;0.0000658;47.4287969;-13.3467745
53.9878760;186.9154757;-162.9183326;-2.2110178;0.0000698;46.8627321;-13.3420307
55.9874270;188.5191314;-164.1126995;-2.2108744;0.0000737;46.2899506;-13.3378344
57.9869779;190.1229595;-165.3068274;-2.2107230;0.0000776;45.7101757;-13.3341388
59.9865289;191.7269682;-166.5007029;-2.2105640;0.0000815;45.1231158;-13.3300204
61.9860799;193.3311802;-167.6943233;-2.2103969;0.0000857;44.5285018;-13.3300130
63.9856308;194.9355888;-168.8876657;-2.2102280;0.0000770;43.9258397;-13.3513630
65.9851818;196.5401795;-170.0807620;-2.2100942;0.0000568;43.3138076;-13.3934389
67.9847328;198.1449047;-171.2736756;-2.2100014;0.0000361;42.6910319;-13.4341908
69.9842837;199.7497141;-172.4664719;-2.2099498;0.0000155;42.0570982;-13.4726008
71.9838347;201.3545740;-173.6592286;-2.2099394;-0.0000051;41.4116071;-13.4573827
73.9833857;202.9594002;-174.8519855;-2.2099701;-0.0000257;40.7566406;-13.4257640
75.9829366;204.5641722;-176.0448299;-2.2100419;-0.0000462;40.0925524;-13.3964165
77.9824876;206.1688596;-177.2378414;-2.2101548;-0.0000667;39.4187661;-13.3688195
79.9820385;207.7733450;-178.4310352;-2.2103088;-0.0000874;38.7346854;-13.3444260
81.9815895;209.3776381;-179.6245214;-2.2105040;-0.0001075;38.0395864;-13.3227374
83.9811405;210.9817123;-180.8183804;-2.2107385;-0.0001272;37.3327088;-13.2973148
85.9806914;212.5854161;-182.0126010;-2.2110168;-0.0001512;36.6135744;-13.2863317
87.9802424;214.1887865;-183.2073247;-2.2113382;-0.0001660;35.8806415;-13.2833751
89.9797934;215.7918114;-184.4026172;-2.2116771;-0.0001755;35.1325898;-13.2096532
91.9793443;217.3943060;-185.5984359;-2.2120982;-0.0002458;34.3725488;-13.1460978
93.9788953;218.9962331;-186.7950565;-2.2126584;-0.0003135;33.5991001;-13.0755813
95.9784463;220.5975073;-187.9927535;-2.2133515;-0.0003942;32.8117197;-12.6541795
97.9779972;222.1975912;-189.1917956;-2.2145699;-0.0008244;32.0312908;-12.0883911
99.9775482;223.7957828;-190.3935850;-2.2167508;-0.0014439;31.2675692;-11.4281480
101.9770991;225.3904225;-191.5999548;-2.2204182;-0.0022231;30.5279963;-10.8618126
103.9766501;226.9797599;-192.8134335;-2.2256092;-0.0029692;29.8080704;-10.3529344
105.9762011;228.5618378;-194.0363066;-2.2322927;-0.0037150;29.1053023;-9.8978777
107.9757520;230.1346495;-195.2707893;-2.2404661;-0.0044606;28.4171779;-9.5004880
109.9753030;231.6965818;-196.5193982;-2.2501222;-0.0051973;27.7406305;-9.1504767
